field_1,field_2,field_3
545103.000000,4054055.000000,50550.000000
545105.000000,4054054.000000,50561.000000
545106.000000,4054053.000000,50554.000000
545108.000000,4054052.000000,50555.000000
545108.000000,4054052.000000,50554.000000
545109.000000,4054052.000000,50550.000000
545109.000000,4054051.000000,50544.000000
545109.000000,4054051.000000,50545.000000
545109.000000,4054051.000000,50546.000000
545109.000000,4054051.000000,50546.000000
545109.000000,4054051.000000,50545.000000
545109.000000,4054051.000000,50546.000000
545110.000000,4054051.000000,50546.000000
545109.000000,4054051.000000,50547.000000
545110.000000,4054051.000000,50545.000000
545110.000000,4054051.000000,50546.000000
545109.000000,4054051.000000,50546.000000
545109.000000,4054051.000000,50546.000000
545110.000000,4054051.000000,50546.000000
545110.000000,4054051.000000,50544.000000
545110.000000,4054051.000000,50546.000000
545110.000000,4054051.000000,50546.000000
545110.000000,4054052.000000,50547.000000
545111.000000,4054051.000000,50547.000000
545113.000000,4054051.000000,50539.000000
545115.000000,4054051.000000,50543.000000
545117.000000,4054050.000000,50558.000000
545120.000000,4054050.000000,50526.000000
545122.000000,4054050.000000,50526.000000
545124.000000,4054049.000000,50544.000000
545127.000000,4054049.000000,50551.000000
545129.000000,4054050.000000,50549.000000
545131.000000,4054050.000000,50554.000000
545133.000000,4054050.000000,50570.000000
545135.000000,4054049.000000,50576.000000
545137.000000,4054048.000000,50534.000000
545139.000000,4054047.000000,50557.000000
545141.000000,4054047.000000,50559.000000
545144.000000,4054047.000000,50555.000000
545146.000000,4054047.000000,50544.000000
545148.000000,4054046.000000,50547.000000
545150.000000,4054046.000000,50552.000000
545152.000000,4054045.000000,50553.000000
545155.000000,4054045.000000,50544.000000
545157.000000,4054045.000000,50545.000000
545159.000000,4054044.000000,50547.000000
545161.000000,4054044.000000,50546.000000
545163.000000,4054042.000000,50545.000000
545165.000000,4054042.000000,50548.000000
545167.000000,4054041.000000,50550.000000
545169.000000,4054041.000000,50553.000000
545172.000000,4054040.000000,50552.000000
545174.000000,4054040.000000,50550.000000
545176.000000,4054040.000000,50548.000000
545178.000000,4054039.000000,50561.000000
545180.000000,4054039.000000,50562.000000
545182.000000,4054039.000000,50559.000000
545185.000000,4054039.000000,50558.000000
545187.000000,4054038.000000,50553.000000
545188.000000,4054037.000000,50557.000000
545191.000000,4054037.000000,50557.000000
545193.000000,4054036.000000,50547.000000
545195.000000,4054037.000000,50550.000000
545198.000000,4054038.000000,50552.000000
545200.000000,4054037.000000,50550.000000
545202.000000,4054037.000000,50552.000000
545205.000000,4054037.000000,50550.000000
545207.000000,4054037.000000,50548.000000
545209.000000,4054037.000000,50556.000000
545211.000000,4054037.000000,50555.000000
545213.000000,4054037.000000,50557.000000
545215.000000,4054036.000000,50539.000000
545218.000000,4054036.000000,50552.000000
545220.000000,4054036.000000,50565.000000
545222.000000,4054036.000000,50564.000000
545224.000000,4054035.000000,50558.000000
545226.000000,4054035.000000,50556.000000
545228.000000,4054035.000000,50567.000000
545230.000000,4054034.000000,50563.000000
545233.000000,4054034.000000,50555.000000
545235.000000,4054034.000000,50556.000000
545238.000000,4054035.000000,50554.000000
545240.000000,4054034.000000,50555.000000
545242.000000,4054034.000000,50561.000000
545245.000000,4054033.000000,50556.000000
545247.000000,4054033.000000,50556.000000
545249.000000,4054032.000000,50548.000000
545251.000000,4054032.000000,50553.000000
545254.000000,4054032.000000,50552.000000
545256.000000,4054032.000000,50553.000000
545258.000000,4054032.000000,50556.000000
545260.000000,4054031.000000,50548.000000
545262.000000,4054031.000000,50550.000000
545265.000000,4054032.000000,50554.000000
545267.000000,4054032.000000,50560.000000
545269.000000,4054032.000000,50558.000000
545271.000000,4054032.000000,50556.000000
545273.000000,4054031.000000,50553.000000
545276.000000,4054031.000000,50554.000000
545278.000000,4054030.000000,50550.000000
545280.000000,4054030.000000,50553.000000
545282.000000,4054029.000000,50551.000000
545285.000000,4054029.000000,50551.000000
545287.000000,4054029.000000,50553.000000
545289.000000,4054029.000000,50553.000000
545291.000000,4054029.000000,50562.000000
545294.000000,4054029.000000,50554.000000
545296.000000,4054028.000000,50551.000000
545298.000000,4054028.000000,50551.000000
545300.000000,4054028.000000,50551.000000
545303.000000,4054027.000000,50549.000000
545305.000000,4054026.000000,50552.000000
545307.000000,4054025.000000,50552.000000
545309.000000,4054024.000000,50553.000000
545311.000000,4054024.000000,50556.000000
545313.000000,4054023.000000,50548.000000
545315.000000,4054022.000000,50545.000000
545317.000000,4054022.000000,50559.000000
545320.000000,4054021.000000,50560.000000
545322.000000,4054021.000000,50559.000000
545324.000000,4054021.000000,50553.000000
545327.000000,4054020.000000,50553.000000
545329.000000,4054020.000000,50554.000000
545331.000000,4054019.000000,50550.000000
545334.000000,4054019.000000,50550.000000
545336.000000,4054019.000000,50552.000000
545338.000000,4054018.000000,50560.000000
545340.000000,4054019.000000,50559.000000
545342.000000,4054018.000000,50572.000000
545345.000000,4054017.000000,50574.000000
545347.000000,4054017.000000,50564.000000
545349.000000,4054017.000000,50553.000000
545351.000000,4054017.000000,50556.000000
545354.000000,4054016.000000,50555.000000
545356.000000,4054016.000000,50551.000000
545358.000000,4054016.000000,50549.000000
545361.000000,4054015.000000,50552.000000
545363.000000,4054015.000000,50548.000000
545364.000000,4054013.000000,50560.000000
545367.000000,4054012.000000,50553.000000
545369.000000,4054012.000000,50554.000000
