x,y
544406.8827797202,4051623.0633595586
544496.2918706294,4051737.8050262257
544582.7206585080,4051788.4701777399
544624.4449009324,4051773.5686625890
544744.8606060612,4051638.5666666650
544754.0880827504,4051533.6542686494
544748.1274766898,4051414.4421474375
544684.0509615382,4051290.7595716799
544585.7009615384,4051220.7224504682
544478.4100524476,4051253.5057838010
544360.6880827507,4051378.6785110738
544321.9441433566,4051409.9716928918
544259.3577797204,4051429.3436625889
544239.9858100234,4051508.3216928919
544307.0426282051,4051570.9080565278
544406.8827797202,4051623.0633595586
