X,Y
544366.528924956,4051780.98566507
544475.649938724,4051938.60490718
544518.085888523,4052114.41098491
544706.016523346,4052126.535542
544869.698043998,4051999.2276926
544887.884879626,4051793.11022215
544942.445386511,4051653.67781567
544942.445386511,4051453.62262376
544857.573486913,4051229.31831768
544803.012980029,4051138.38413954
544621.144623749,4051041.38768286
544475.649938724,4051029.26312577
544124.037783249,4051047.4499614
543905.795755713,4051192.94464643
543790.612463402,4051326.31477437
543790.612463402,4051532.43224482
543851.235248829,4051635.49098004
544093.726390536,4051665.80237276
544318.030696615,4051738.54971527
544366.528924956,4051780.98566507
